,station number,datetime,Gage height (ft),Precipitation (in),Discharge (ft^3/S)
350,2172035,2016-10-07 05:10,,0.0,
351,2172035,2016-10-07 05:15,4.23,0.0,5.04
352,2172035,2016-10-07 05:20,,0.0,
353,2172035,2016-10-07 05:25,,0.0,
354,2172035,2016-10-07 05:30,4.23,0.0,5.04
355,2172035,2016-10-07 05:35,,0.0,
356,2172035,2016-10-07 05:40,,0.0,
357,2172035,2016-10-07 05:45,4.23,0.0,5.04
358,2172035,2016-10-07 05:50,,0.0,
359,2172035,2016-10-07 05:55,,0.01,
360,2172035,2016-10-07 06:00,4.24,0.02,5.18
361,2172035,2016-10-07 06:05,,0.0,
362,2172035,2016-10-07 06:10,,0.0,
363,2172035,2016-10-07 06:15,4.23,0.0,5.04
364,2172035,2016-10-07 06:20,,0.01,
365,2172035,2016-10-07 06:25,,0.0,
366,2172035,2016-10-07 06:30,4.23,0.0,5.04
367,2172035,2016-10-07 06:35,,0.0,
368,2172035,2016-10-07 06:40,,0.0,
369,2172035,2016-10-07 06:45,4.23,0.0,5.04
370,2172035,2016-10-07 06:50,,0.0,
371,2172035,2016-10-07 06:55,,0.0,
372,2172035,2016-10-07 07:00,4.23,0.0,5.04
373,2172035,2016-10-07 07:05,,0.0,
374,2172035,2016-10-07 07:10,,0.0,
375,2172035,2016-10-07 07:15,4.23,0.0,5.04
376,2172035,2016-10-07 07:20,,0.0,
377,2172035,2016-10-07 07:25,,0.0,
378,2172035,2016-10-07 07:30,4.23,0.0,5.04
379,2172035,2016-10-07 07:35,,0.0,
380,2172035,2016-10-07 07:40,,0.01,
381,2172035,2016-10-07 07:45,4.23,0.01,5.04
382,2172035,2016-10-07 07:50,,0.0,
383,2172035,2016-10-07 07:55,,0.0,
384,2172035,2016-10-07 08:00,4.23,0.0,5.04
385,2172035,2016-10-07 08:05,,0.0,
386,2172035,2016-10-07 08:10,,0.0,
387,2172035,2016-10-07 08:15,4.23,0.0,5.04
388,2172035,2016-10-07 08:20,,0.0,
389,2172035,2016-10-07 08:25,,0.0,
390,2172035,2016-10-07 08:30,4.23,0.0,5.04
391,2172035,2016-10-07 08:35,,0.0,
392,2172035,2016-10-07 08:40,,0.0,
393,2172035,2016-10-07 08:45,4.23,0.0,5.04
394,2172035,2016-10-07 08:50,,0.0,
395,2172035,2016-10-07 08:55,,0.0,
396,2172035,2016-10-07 09:00,4.23,0.0,5.04
397,2172035,2016-10-07 09:05,,0.0,
398,2172035,2016-10-07 09:10,,0.0,
399,2172035,2016-10-07 09:15,4.23,0.0,5.04
400,2172035,2016-10-07 09:20,,0.0,
401,2172035,2016-10-07 09:25,,0.0,
402,2172035,2016-10-07 09:30,4.23,0.0,5.04
403,2172035,2016-10-07 09:35,,0.0,
404,2172035,2016-10-07 09:40,,0.0,
405,2172035,2016-10-07 09:45,4.23,0.0,5.04
406,2172035,2016-10-07 09:50,,0.0,
407,2172035,2016-10-07 09:55,,0.0,
408,2172035,2016-10-07 10:00,4.23,0.0,5.04
409,2172035,2016-10-07 10:05,,0.0,
410,2172035,2016-10-07 10:10,,0.0,
411,2172035,2016-10-07 10:15,4.23,0.0,5.04
412,2172035,2016-10-07 10:20,,0.0,
413,2172035,2016-10-07 10:25,,0.0,
414,2172035,2016-10-07 10:30,4.23,0.0,5.04
415,2172035,2016-10-07 10:35,,0.0,
416,2172035,2016-10-07 10:40,,0.0,
417,2172035,2016-10-07 10:45,4.23,0.0,5.04
418,2172035,2016-10-07 10:50,,0.0,
419,2172035,2016-10-07 10:55,,0.0,
420,2172035,2016-10-07 11:00,4.23,0.0,5.04
421,2172035,2016-10-07 11:05,,0.0,
422,2172035,2016-10-07 11:10,,0.0,
423,2172035,2016-10-07 11:15,4.23,0.0,5.04
424,2172035,2016-10-07 11:20,,0.0,
425,2172035,2016-10-07 11:25,,0.0,
426,2172035,2016-10-07 11:30,4.23,0.0,5.04
427,2172035,2016-10-07 11:35,,0.0,
428,2172035,2016-10-07 11:40,,0.0,
429,2172035,2016-10-07 11:45,4.23,0.0,5.04
430,2172035,2016-10-07 11:50,,0.0,
431,2172035,2016-10-07 11:55,,0.0,
432,2172035,2016-10-07 12:00,4.23,0.0,5.04
433,2172035,2016-10-07 12:05,,0.0,
434,2172035,2016-10-07 12:10,,0.0,
435,2172035,2016-10-07 12:15,4.23,0.0,5.04
436,2172035,2016-10-07 12:20,,0.0,
437,2172035,2016-10-07 12:25,,0.0,
438,2172035,2016-10-07 12:30,4.23,0.0,5.04
439,2172035,2016-10-07 12:35,,0.0,
440,2172035,2016-10-07 12:40,,0.0,
441,2172035,2016-10-07 12:45,4.23,0.0,5.04
442,2172035,2016-10-07 12:50,,0.0,
443,2172035,2016-10-07 12:55,,0.0,
444,2172035,2016-10-07 13:00,4.22,0.0,4.91
445,2172035,2016-10-07 13:05,,0.0,
446,2172035,2016-10-07 13:10,,0.0,
447,2172035,2016-10-07 13:15,4.22,0.0,4.91
448,2172035,2016-10-07 13:20,,0.0,
449,2172035,2016-10-07 13:25,,0.0,
450,2172035,2016-10-07 13:30,4.22,0.0,4.91
451,2172035,2016-10-07 13:35,,0.0,
452,2172035,2016-10-07 13:40,,0.0,
453,2172035,2016-10-07 13:45,4.22,0.0,4.91
454,2172035,2016-10-07 13:50,,0.0,
